codigo_departamento,departamento,anio,pib_total_miles_millones_cop,pib_variacion_pct_anual_vs_anio_previo,total_admitidos,total_matriculados,ratio_matriculados_sobre_admitidos,var_pct_matriculados_vs_anio_previo,ipc_nacional_total_var_mensual_media,ipc_nacional_total_var_mensual_mediana,ipc_nacional_total_var_mensual_std,ipc_nacional_educacion_var_mensual_media,ipc_nacional_educacion_var_mensual_mediana,ipc_nacional_educacion_var_mensual_std,ipc_nacional_alimentos_var_mensual_media,ipc_nacional_alimentos_var_mensual_mediana,ipc_nacional_alimentos_var_mensual_std,ipc_nacional_transporte_var_mensual_media,ipc_nacional_transporte_var_mensual_mediana,ipc_nacional_transporte_var_mensual_std,ipc_capital_total_var_mensual_media,ipc_capital_educacion_var_mensual_media,geih_td_nacional_media_anual,geih_to_nacional_media_anual,geih_tgp_nacional_media_anual,proxy_pib_miles_mm_cop_por_matriculado,spadies_td_anual_tyt,spadies_td_anual_tecnico_profesional,spadies_td_anual_tecnologico,outcome_tasa_desercion_snies,indice_vulnerabilidad_pca,indice_vulnerabilidad_teorico,cluster_km,cluster_hierarchical,pc1,pc2,cluster_KMeans
5,Antioquia,2023,231121.9352491228,9.147821323402932,108287.0,496052.0,4.58090075447653,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.7658333333333335,0.9983333333333334,10.165585191866676,57.6205466251543,64.13746922177585,0.4659227969025883,0.1350012830382345,0.1126046716615249,0.1379530669144981,0.0793060786248017,-0.2913558066044505,-0.0428441566113413,0.0,0.0,-0.2913558066044505,0.6878703112247673,0
8,Atlántico,2023,70861.50241137248,10.881975541851148,53250.0,231610.0,4.349483568075117,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.8258333333333333,1.0533333333333337,10.165585191866676,57.6205466251543,64.13746922177585,0.3059518259633542,0.1193381706244503,0.1228834059022738,0.1117443868739205,0.0703394054739894,-0.5766670623136722,-0.0657240113958535,0.0,0.0,-0.5766670623136722,0.4421660432605728,0
11,Bogotá D.C.,2023,395437.7893465079,9.18964838761663,786433.0,2525576.0,3.21143187022925,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.7541666666666668,0.9008333333333334,10.165585191866676,57.6205466251543,64.13746922177585,0.1565733081667342,0.19466004006612,0.235045742434905,0.1546308607799115,0.0949327872421357,-0.6398324423966486,-0.4130201830457363,0.0,0.0,-0.6398324423966486,3.740033527299702,2
13,Bolívar,2023,56924.47009964763,10.875341774405404,30703.0,131582.0,4.285639839755073,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.7908333333333332,0.7708333333333335,10.165585191866676,57.6205466251543,64.13746922177585,0.4326159360676052,0.0980406764508679,0.1103873842989372,0.0946126023224823,0.0714875030332443,-0.7120310528534106,-0.093694075761452,0.0,0.0,-0.7120310528534106,0.2660439612774704,0
15,Boyacá,2023,42277.21720754343,7.236742697402093,14991.0,88812.0,5.924354612767661,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.6583333333333334,1.3475,10.165585191866676,57.6205466251543,64.13746922177585,0.4760304599327054,0.1439824143616047,0.1580048831531217,0.1284722222222222,0.0548014855424882,-0.2829989377224651,0.0512245565556459,0.0,0.0,-0.2829989377224651,-0.1511145644226555,0
17,Caldas,2023,26212.674535076098,9.79932272513991,12388.0,68517.0,5.53091701646755,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.7008333333333333,0.9333333333333336,10.165585191866676,57.6205466251543,64.13746922177585,0.3825718366985726,0.1018393898609241,0.092808356769787,0.1132554596241747,0.0520955451348182,-0.4940385893167899,-0.0153843902649848,0.0,0.0,-0.4940385893167899,0.0807536962010506,0
18,Caquetá,2023,6250.433809661449,11.899218050869822,2754.0,16283.0,5.912490922294844,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.6766666666666666,1.025,10.165585191866676,57.6205466251543,64.13746922177585,0.3838625443506386,0.1643564356435643,0.5,0.1603206412825651,0.0723388649491152,0.0160249247962284,0.0730645956657419,0.0,0.0,0.0160249247962284,0.3196702446783757,0
19,Cauca,2023,28537.042539022543,9.018873048089995,9091.0,63898.0,7.028709712902871,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.6466666666666666,0.9258333333333332,10.165585191866676,57.6205466251543,64.13746922177585,0.4466030633043686,0.1074232690935046,0.5,0.1062992125984252,0.0714560245980398,-0.5463923502700575,-0.0226899852155519,0.0,0.0,-0.5463923502700575,-0.024764137606253,0
20,Cesar,2023,34820.880659655246,-11.01852427164112,4409.0,33659.0,7.634157405307326,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.8508333333333332,0.9525,10.165585191866676,57.6205466251543,64.13746922177585,1.034519167522958,0.2115677321156773,0.3428571428571428,0.2041800643086816,0.0889259005257829,0.8789426982936063,0.4981417120339202,0.0,0.0,0.8789426982936063,-2.1580203750229963,0
23,Córdoba,2023,28303.31904478858,9.872463359985474,8395.0,57277.0,6.822751637879691,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.835,1.1033333333333333,10.165585191866676,57.6205466251543,64.13746922177585,0.4941480706878604,0.109353507565337,0.1263736263736263,0.0922865013774104,0.0524524856834592,-0.6961143392428454,-0.0715051563651123,0.0,0.0,-0.6961143392428454,0.0392390718082145,0
